0	53653
1	74390
2	59598
3	57734
4	47667
5	37052
6	31514
7	26810
8	23434
9	22176
10	21654
11	23094
12	22818
13	21959
14	23281
15	24895
16	27485
17	29216
18	25934
19	22609
20	22803
21	25083
22	29040
23	32950
24	35121
25	37925
26	41156
27	42976
28	44863
29	45780
30	50363
31	53050
32	55643
33	54681
34	53093
35	54921
36	54131
37	55135
38	59820
39	63256
40	70502
41	70669
42	71519
43	71606
44	72869
45	75055
46	78224
47	81282
48	83971
49	87740
50	87758
51	89804
52	94254
53	96480
54	100988
55	103005
56	103467
57	107553
58	111562
59	115003
60	118862
61	121763
62	128473
63	136739
64	142501
65	147702
66	155494
67	147712
68	120934
69	127363
70	126992
71	116688
72	108142
73	111576
74	120991
75	120511
76	120877
77	121615
78	119161
79	121798
80	117350
81	117132
82	109671
83	106358
84	97935
85	89351
86	80502
87	72834
88	64528
89	56648
90	48934
91	40961
92	34650
93	28966
94	15774
95	8927
96	6454
97	4171
98	3154
99	3980
100	2540
101	1689
102	1034
103	743
104	482
105	311
106	270
107	198
108	145
109	153
110	148
111	149
112	154
113	223
114	219
115	222
116	352
117	237
118	6
126	1
138	1
140	46
