0	866239
1	2647629
2	1271618
3	836511
4	515360
5	312196
6	201325
7	133309
8	88411
9	57274
10	36022
11	21890
12	12650
13	7156
14	3741
15	2114
16	1019
17	549
18	253
19	159
20	80
21	40
22	14
23	6
24	3
25	2
30	1
