	1416
7245437	5
4975187	13
2639723	1
511083	1
3869885	354
5147541	2
4833932	6
7304335	27
4519578	1
246095	19
4294926	9
3879205	402
6603099	2
4471239	13
511077	306
9752859	84
9845070	1
4833926	10
3615771	2167
3062160	6
9693714	3
3869891	594
4926125	14
4270995	1
4519584	1
2640726	6
1444101	84
7750359	1
3870888	13
3076794	2
6603082	4
4270989	1
4485862	3
7965226	1
4711258	11
3688770	2570
452363	1
4519590	1
3581641	686
9870004	1
7064368	1
295076	9
9869018	1
5172533	2
9752894	1
452357	1
2591488	15
7798343	1
3400800	115
6269849	84
1277471	13
8774356	1
7965203	9
6040294	1
9752888	1
3556666	10
9512954	10
7916280	2
2194385	179
4642994	1
5147587	1
295099	2
4701811	1
271093	4
6040288	1
1855815	5
7798366	60
4172465	23
5172510	1
9821081	2
4196431	27
3326587	47
8906533	2
7941237	1
6040271	3
3556672	778
3351510	1341
1855809	1
4892283	1
8774385	3
9693789	2
7955825	1
3253115	5129
114028	2
3292718	1011
7882405	4
7377251	1
4471280	1
427365	2
3625189	663
7798308	21
9115868	1
4269911	19
114034	8
8808090	1
7931865	33
4245945	11
7392888	97
4172407	290
2640784	1
3542090	3546
4642988	1
9776883	57
7064397	1
3253109	719
4989717	6
3194200	8
7788994	9
4892225	2
7916239	3
4269905	16
9845012	1
4245951	25
7931859	42
7955848	1
8774362	3
9821052	1
511002	3
3400817	174
295053	3
8534416	1
4245968	71
3566038	4881
4269934	1
114011	2
7558857	1
7931888	1
7798320	8
4892231	4
848434	1
7882411	6
3664746	5590
3880289	1
4495263	2
7377280	1
907102	94
7931871	8
4412900	1
4269928	13
7798337	136
3963130	131
3625172	12
4245974	1
7955908	1
6520249	1
3772542	1
7377216	1
4593563	25
7882440	4
3292635	296
1111960	3
7847797	41
7666506	139
7088297	1
7353256	2
9786261	7
10	15
11	2
584099	24
7162616	5
12	2
13	2
14	12
3556614	8
17	366
3013138	2
6015391	60
6544209	3
6784132	3
9821106	2
633478	1
907125	4
7847780	76
8005534	1
23	61
7377239	1
3013144	6
5040702	11
7392871	38
27	1
1111948	2
29	1
3698194	1530
4363432	220
907131	3
7147019	1
7666529	17
7916328	2
4882994	2
8005540	1
4892314	12
2409696	17
30	14
7833134	2
9821135	2
4363449	24
35	4
7064291	2
38	5
39	2
403324	1
7882457	1
3292606	3
4593528	1
3267672	12022
3483252	13733
559090	2
7666512	61
4892320	4
9786255	4
6030999	15
9101317	1
44	3
3532677	40
46	21
9884609	1
48	1
6269890	12
9536989	5
9811740	1
1312351	1
3542003	28
3845933	9
848374	1
3292687	24
4314480	21
52	65
9884615	8
4363426	7
584053	17
4593592	16
4701805	1
6269884	4
9811757	3
848380	1
907160	1
682436	91
7833105	1
9884621	16
3532660	8
560093	1
63	1
66	13
67	2
69	132
3556620	30
2169341	1
4593586	6
222114	1
6760172	1
501713	1
907177	33
3027755	1153
222120	97
3253090	3413
7088274	1
682407	2
9992463	3449
75	11
4784122	2
584076	44
9884638	7
4363403	1
222108	398
6040354	1
682413	21
3963093	339
81	46
82	3
4882965	1
9884644	22
7005928	3
4676303	4
88	9
4436881	469
2615898	2
4294872	40
246103	32
3458219	1
3650193	2327
222137	11
559049	2
6029944	1
535072	1
7739926	19
4833955	6
4818329	3
9629107	8
3698136	76
4485810	27
7367809	14
222143	1
9992440	2025
9884650	2
956129	1
716690	2
2483698	7
4280232	1
5001168	1
7666587	39
98	2249
4833949	3
559032	5
99	6
7666570	23
2615881	5
4206307	2
6029950	6
4818312	1
4485804	1251
9605124	187
4784116	1
6735122	5
584001	1
9992457	4784
7739949	1
6029921	1
4818341	10
4691969	2
9644710	4
9400008	1
4999035	25
559026	1
702067	1
3870954	1908
7725309	10
222166	1
9884673	41
5001145	2
1698161	8
6030901	2
1796998	1
1865179	7
9644727	8
9727531	10
7691533	22
6029938	15
3914120	61
4818335	18
4833961	4
4294866	23
7172046	8
7691527	7
6030918	38
560070	1
3639808	4127
5999037	2
7666593	28
1326910	2
5999066	1
7725321	5
9017516	1
4818364	1
7823704	6
4279275	1
2160908	415
7739961	6
9884696	87
1865110	30
6711185	1
7666541	171
4280278	1
7245489	7
1855784	3
7739955	9
7823710	8
7691510	10
559078	22
222172	25
3674199	850
7691504	3
4519609	7
1938524	2
7666535	132
702009	11
9630145	25
956170	1
2517457	1
4446230	1
3914108	195
7725315	15
6030976	48
5999089	2
4363478	14
4294895	6
246126	24
3532619	17
5691977	3
6593165	18
9727502	8
535095	2
4294889	42
4519615	9
246132	4
7666564	74
559055	10
3473822	259
3532602	10
7030932	19
4843310	4
702038	1
3698165	1255
4519621	4
222195	2
3845985	14
3869939	140
7666558	91
8005511	1
4436898	453
6030953	103
3013196	5
5818254	15
4280628	1
1674137	20
4989887	220
9007908	5
9727962	25
525547	1
236381	1
6206323	3
9007914	3
726091	21
4975247	75
1973101	2
7015476	4
7725249	1
8882301	1
4280634	1
4975230	15
7725232	2
2542596	24
4015984	1
3880102	9
9727956	33
4519408	17
3894736	6831
9654499	8
7231168	1
3713901	2
6206317	18
775008	6
3870782	14
7485006	51
9150126	7
7725261	17
3845790	79
4701774	1
4735112	13
9908882	5
4519414	15
4279654	1
7255128	1
3410543	2166
3895	3
5040398	1
7015499	5
9654482	205
4265014	39
4280611	2
7725255	1
4519420	4
5137815	1
9727933	24
5137809	17
4265008	25
9908899	1
8882318	3
7015482	4
4436579	2
3639406	470
4975282	110
7725284	11
2410707	2
726056	5
9101174	8
7064440	1
4519437	2
4461519	1
4289003	3
3953605	266
3894707	2634
7255105	7
6005808	1
6221908	6
6064194	26
7941384	4
3855179	1
6980703	9
4265037	92
261373	29
4519443	2
4926266	27
5137838	9
7064434	1
9874999	6
7231122	1
