	1416
9101984	13
9766442	23
7926798	7
9717550	10
4833346	2
1875574	1
7524350	1
8847049	1
8201643	1
1934325	1
1341401	1
271733	1
9693022	9
207190	3
4432239	1
9766471	2
6407240	1
3967228	19
3023148	1
838387	2
8847032	12
9609719	8
2629831	1
4794161	15
4407299	1
4432222	1
4833375	1
9717544	10
4711821	2
4373442	2
8020500	2
2639172	4
9766465	2
232153	1
7538978	1
7176601	3
4348496	1
7936124	1
4794178	9
3424290	60
4373436	1
3243045	2
3982831	49
3943268	336
9609702	1
9717538	17
9693045	4
9874284	1
403991	3
8093455	2
922107	92
4299088	3
9609731	7
7926746	6
3243074	41
3414883	139
1292051	4
4432280	2
3267040	83
7646739	5
4931706	1149
7489576	3
569094	468
9717521	20
3943274	48
4202172	2
2233286	199
4529602	6
4202189	1
9585309	24
6191805	9
7646745	9
7902763	3
9766488	1
922113	3
4495843	3
232176	1
9908037	1
6202124	1
6456209	6
5206976	1
4481203	137
3414877	98
4990011	98
4432274	9
4299094	5
7926752	10
9609725	9
9585315	8
3282654	1642
7646751	7
7926769	12
7902757	4
4529619	47
4530605	4
7867908	8
4794126	14
570097	21
6202130	1
3752798	1
5133504	15
4432268	55
3267028	4
2904119	2
7489553	2
9609754	2
8969462	1
6166842	1
6999252	20
4529625	70
4530611	1
4202166	3
9874255	28
922136	55
4794132	40
4432251	81
3282660	148
9599932	1
4481226	3
3267034	1375
256136	1
7489547	1
7902740	55
7926775	5
9609748	3
7259451	1
8969404	1
8945438	1
9888808	8
5206947	5
3992249	1737
4530628	1
7926700	4
9849286	2
9850272	1
9874249	14
922142	1
4794103	27
3047172	2662
7607165	47
5133527	3
7078293	1091
4990040	24
569059	60
7162036	2
9609777	3
2125504	1
3967286	29
9888814	8
9003595	12
922159	8
643471	6
7926717	1
9609760	1
4530634	7
9908072	1
9874232	1
5206930	3
3267092	3026
4167317	62
570051	2
9003589	2
5133510	6
3595583	300406
4157997	534
7607171	49
9908043	5
3062792	1
9257686	2
4554617	1
7926723	1
7646716	7
922165	123
4530640	4
7607142	74
569071	378
6999298	1
9003572	17
9888837	1
4530657	1
643494	1
3752746	141
7646722	1
4495820	5
6373498	1
9850266	3
7548379	11
922171	621
3047189	30
4554600	2
4989054	582
570074	16
9003566	8
7489582	1
7607159	35
5133533	5
863385	6
8969410	1
3111303	1317
569088	1
3581368	1383
4530427	14
8754218	1
6999996	1
9898770	3
7646573	3
6083984	27
9003307	2
8094	1
8730241	1
56414	2
9003313	8
368817	1
2487414	1
584515	1
716052	26
3678808	266
4529430	1
5358195	1
6044381	2
6083978	126
9874798	1
4530433	17
5167466	1
8754201	6
368823	1
7455850	4
7646596	2
6456497	1
4495599	691
9874781	3
3125972	8
8558109	1
3341670	41
7926806	4
6093327	2
9243000	1
716075	8
9908646	1
6745669	2
9717900	2
9027302	1
7926812	2
9874775	4
354206	35
3605896	356
9908652	2
4530456	4
4314758	59
3870569	282
7597099	4
3845548	89
716069	2
3630836	1025
9957627	1
2463431	5
3772097	195
305248	20
9693401	5
9017918	5
4916256	1342
7225506	14
4578405	3
9850792	70
3341658	23
1390121	130
4471564	19
3111390	15
4530462	1
4495530	1
7646538	7
9874769	7
114548	1
7382329	11
3605867	597
7382335	15
3595979	1088
4989203	59
3678843	10
7396969	2
6731070	22
9027325	1
4530479	1
9017901	1
305219	1
3747099	58
9874752	12
3326009	42
3629833	4
3630813	450
716000	4
3302049	1
9027331	2
7357389	43
4529482	1
4965243	10
8671389	1
9908681	1
6481495	1
6731058	46
4530485	8
4662287	1
9766910	8
4314706	10
9874746	20
7357395	87
9884199	1
3870517	8
354241	1
6290789	3
7646550	1
2629156	3
7396981	2
6166807	2
3149978	20110
6481489	33
4471593	7
462077	13
9766904	4
790002	9
4530491	46
6044398	2
378201	1
305202	70
6083961	315
6731064	20
1861112	6
3556324	1
4896973	18
5358114	11
6058940	130
9849760	1
8886055	9
6999915	1
3595927	798
2003623	4
9766933	3
3302010	2
9874723	7
9766927	3
7597001	1
3571967	23
9874717	3
6019348	17
462054	2
437091	8
4578440	2
2218335	2
2629133	1
4363745	117
3316643	1
692386	13
2561932	3
7103022	6
4157394	1
4662258	6
5358108	11
3713746	91
3302003	297
4833381	3
3532341	813
2218341	34
7813249	1
4896996	9
3639257	19
2561926	5
3546981	8
3023102	38
2003646	3
9766956	8
2487472	11
3713752	1
3302032	73
4241203	1
6662794	2
4157388	1
3595956	2141
9693499	19
2218358	134
6010991	1
9849748	10
3556318	60
4578434	2
1861129	32
2619784	5
3546998	45
6251186	8
5358120	3
511545	26
8730206	1
511580	1
4314764	12
3639234	1141
4578486	1
2619778	1
9908623	2
3473495	941
7020224	1
7671571	1
4896938	1
462002	1
7999768	3
6985310	1
3159333	12
4241226	1
7020218	1
6044346	4
716098	8
6407501	4
437056	17
9693418	4
7729477	24
7671565	6
9811119	1
3581316	993
9766962	8
7999751	5
6672108	5
8005296	2
413096	5
4941254	52
4314770	11
2160469	1619
3870581	35
7671559	1
9849731	1
4241232	4
6407518	2
4196968	2
1208381	2
4314787	28
9766991	2
1919001	2
3639211	1085
3953462	489
9908600	7
9776311	2
2546329	1
7671594	3
7999745	1
4857387	284
3629885	1673
2487437	1
4241249	4
138543	3
437079	5
9849702	11
9776305	9
7671588	1
9766985	1
4896967	6
9052369	1
3894558	23
1934621	3
3713723	2
9849719	6
9908617	3
2487420	2
2561949	6
3630871	92
2619749	1
6999980	2
4241255	3
4857393	723
643382	1
3233785	192
3047019	1
4833435	1
9776334	11
6637767	20
7803860	30
4808472	12
3546923	60
7524025	1
9727287	1
4857401	11
6662736	5
9825831	1
9801865	3
6407547	2
3282708	38
9101889	2
3762621	504
9776328	6
6407553	2
2160417	2
8886109	2
3497550	147
4833429	7
2561895	1
3953350	1
413050	1
3086605	67
7490272	15
2160423	2
437004	2
4808489	3
9801871	6
6662742	6
6662707	1
8211512	2
9776357	1
3047031	1098
7490266	91
9801888	3
3762609	181
3473590	112
7793995	36
7803848	2
3723035	1
3507343	302
9811214	1
7768980	2
9776340	3
413073	3
4794095	10
9825848	1
4833441	2
9801894	4
3688296	166
6407582	104
4363774	1
246422	4
4627983	654
7951862	82
6637721	6
8211570	1
9693393	4
9727241	207
1934696	1
2630219	20
3546969	626
4446514	22
8211564	2
8102	2
667388	6
6637738	23
9776363	10
246439	21
3713663	1957
3062616	65
9801836	4
2630225	16
3546975	61
3184360	8
7500007	1
9693387	1
3507372	1886
7538607	8
7142714	1
4363751	679
8719831	1
4446508	9
9727229	2
3639292	5
9003299	9
9776392	5
3267100	3653
3546946	98
9801842	1
1861052	18
6176160	3
1861046	13
7951879	1
4363768	354
3282743	359
7020193	3
7538613	1
9717892	3
9727212	7
9776386	10
6456505	2
3713686	3
246416	3
4627977	693
3546952	174
9003282	12
922449	3
3184383	4
7480871	3
7926864	6
7646610	1
3772022	462
9727206	5
789039	1
3723093	7853
8754170	4
3400591	2
9546077	8
7480865	47
9003276	2
8148	1
3747053	1
3629916	2
4216211	1
5202257	1
9898706	1
2351100	2
4627954	1
8078177	1
7926870	6
6637709	1
9619439	1
7926887	13
6202259	54
7646633	2
4686253	2
9017893	3
8211593	1
4989143	72
7441291	9
4990100	6
9717863	1
789051	8
9003253	14
3688215	187
4495501	1
9546083	12
4422583	1
6637715	1
6202265	78
2595291	1
9003247	13
9801813	3
7926893	4
9619422	1
4990117	1
3762696	3
716106	2
4373198	1
4206856	31
5143448	12
6780000	1
3747024	27
790060	2
7926829	2
6912447	1
9898729	2
3605904	5119
790054	67
7607047	1
1027024	2
4784665	2
3688244	1446
9003230	3
789074	19
7926835	2
9017864	1
4206862	1
4530516	33
643353	1
3806034	4
3737698	1993
9003224	14
7607053	1
4808443	42
7152109	1
4505375	109
4446595	3
6166799	16
4784671	64
4373175	8
7480894	168
3688267	946
4505369	41
3365564	23
4446589	4
9017858	2
3821660	245
4686299	2
4530522	20
7524048	1
790077	604
9003218	41
7926841	8
789097	6
3522934	3
7926858	2
4530539	6
7152138	2
5383187	1
4289196	1
7646604	5
4833406	2
9003201	15
4505352	48
3688250	4
4808466	18
3522928	1
9668308	1
755773	1
4216180	3
1365241	3
7127181	4
716170	2
4495694	7
4519992	3
3365788	229
9003431	4
393904	1
4544955	1
9957716	440
7480902	267
7441316	41
3629980	10
4481054	21
9884259	1
3639317	444
4495688	3
4941337	6
4216174	2
9003419	10
7926918	1
6769753	3
633900	1
3654966	54
3630977	3
7480919	293
9003425	7
3870428	56
3135433	1
4544949	2
9957722	2
3556293	89
3390504	2
7201411	1
56549	1
4265103	22
6554834	2
6672077	1
5167555	34
6083889	3
5818395	2
1605219	1
9908764	1
3629968	49
9658965	1
9957739	11
8510083	1
7201428	26
3630960	274
4265132	10
3894400	6
9620359	1
3556264	1
3390533	3
9477815	5
9874893	7
6672083	2
7926930	2
1400121	3
7671424	1
5167561	24
3365759	547
4265126	37
9585491	4
3629974	7
789105	2
9003402	12
1389201	96
3556270	1175
6481319	1
5358083	3
4481060	23
7877427	1
3365742	11
4495659	2
9874887	1
4216145	3
3629945	4
4593913	8
6202271	36
716135	5
4481019	18
4965355	15
9477850	2
2013113	6
9585485	8
5358031	4
9027207	1
4265155	4
4916345	476
8705361	1
4529358	1
3615305	457
3390556	17
5358025	1
4495642	2
114413	3
2003793	1
3365736	22
6769799	2
3302167	1
3678955	136
4265149	3
4481002	12
354353	41
8984415	7
4593907	2
4990330	16
4216139	1
4241195	1
7813195	1
9477844	2
3630931	461
790108	397
3400415	1819
3390562	15
4495671	1
3630919	618
4216122	1
4530367	1
6985296	48
3943937	9
114407	1
7441374	3
789134	2
3629922	1
5167590	1
7465305	17
5358054	5
7480925	597
4481031	6
3595873	22
3581256	493
5358048	7
4495665	2
3400421	1678
4265161	2
1139964	1
7877462	2
3629939	1
9668314	2
559457	1
3086597	75
9874858	19
6672048	1
3845465	592
3678978	3075
790120	31
4481025	20
6686671	1
9585456	1
3390585	19
3556206	549
4578322	2
354376	781
4157282	2313
9874841	2
462166	1
4182239	68
9811266	24
462172	21
354382	2680
4182245	329
114471	2
7500214	35
3713858	1
8005126	1
4338894	7
2629251	1
3390579	47
9850881	9
2003758	2
3390591	2346
9874835	11
114459	9
2629245	2
9874829	11
8005132	4
3713864	1
7597113	3
7768922	6
3595821	1
765174	2
6019236	155
3737818	3
3894452	25
7500208	45
800040	1
3967949	1481
9150646	2
9811289	5
7730339	1
9850846	1
7597142	2
7308296	1
1861253	11
7730322	4
3341724	127
5358002	6
6358116	1
114436	3
3737830	12
9874812	1
7500220	11
9874806	6
7020307	21
8005155	1
5662214	2
138477	1
4568996	1
4711614	1
3316732	6
3581204	26
9776417	1
3615386	1364
4578368	1
6019265	2
3184408	3
3639352	526
9811220	1
3473377	3772
4941389	33
6044228	8
7803788	6
437174	1
2629216	1
7416382	5
3184414	3
4637148	9
7730345	1
3316726	1
3473360	28
9776400	2
7803794	3
9727198	3
6044211	5
3953315	5
2184576	2262
4676800	34
3243306	1
3532298	533
3556229	144
3497320	925
462108	77
1448091	106
1861218	1
4941366	137
7803765	1
9908729	2
8005184	2
114494	2
1910543	1
8984467	1
3967984	37
3571861	51
4637125	1
9727181	2
6407406	1
9776423	11
3571849	3503
7347899	25
4216197	1
3953338	2210
3571855	433
4241137	6
462120	33
9727175	5
4578351	1
8729367	1
9149710	1
7999969	1
7778211	64
8813079	6
9150706	1
9776452	2
9811303	1
7500177	3
413162	1
9703192	1
7323829	1
4833553	4
1934532	1
437139	1
5999422	1
8597055	12
7778205	14
9776446	2
4833547	2
4397247	15
9727152	7
6176036	404
3967872	4575
6407435	1
413179	2
437122	11
9801990	1
9811326	1
9727146	16
4833576	1
9776475	12
8813091	8
3762727	777
2619838	1
3507219	1440
9776469	12
3316703	1820
2620818	1
7500183	23
7489381	1
413191	1
1017534	1
7975957	3
7778257	10
2620801	10
8451127	1
9776498	3
3737741	44
4676757	1
9801948	8
4711608	1
4373229	13
9727123	14
3928352	127
7803707	1
7524108	1
4432009	29
5999468	2
8220	1
1885130	6
413127	5
3713781	236
2159526	34
9776481	5
7912394	13
3737735	3579
9610906	1
4373212	208
3894498	1
2302060	9
7778234	9
1885101	18
9717780	1
3723118	820
8237	5
922320	1
618243	53
9610941	16
3737764	21
7793831	16
9727100	1
1861170	4
138388	3
4397299	1
511516	8
6407493	1
7778228	7
3243281	1
2135595	1
9610935	25
1934584	13
9610929	1
9801977	2
9717774	2
7068283	138
4471647	7
4265072	2
8258	1
9610964	11
7142619	1
9610958	10
790137	1
7936319	7
3786797	63
9801902	18
9957679	95
755804	2
9003394	12
4495607	289
9717768	1
8266	2
5167503	2
3772157	182
3424433	4
7068277	426
7142625	2
6093267	1
8402206	10
716201	2
9003388	1
7936302	3
7142631	6
3904357	38
5818308	1
4265066	36
3928300	369
9957691	623
3424427	24
4265095	2
6226343	64
9610987	6
330387	1
2654125	1
9477790	1
7548161	35
3292227	5083
413104	9
9003371	2
9585545	2
7646521	5
3688333	1276
3424410	3
7068254	198
9610970	10
3772134	163
790172	29
7142648	1
3747194	46
9898847	1
9003365	5
7936325	18
3292210	1
3904334	371
7142654	4
790166	6
4627813	3
643206	28
4265089	5
1753411	1
7926947	1
4471601	270
9585516	3
6780128	4
2630171	2
187369	1
9003359	2
3688362	481
9585522	1
3208942	1
3747136	1
3772111	219
9610993	64
7926953	3
790195	6
4289090	1
7548155	20
4990293	32
2630188	4
1101312	1
9003342	14
4471624	35
643241	10
3747165	361
1101306	1
9003336	32
4471618	175
6481408	1
3688385	108
3688379	20
7563752	5
2400034	3
667201	14
7926976	4
4471630	53
4833524	1
6093244	35
4530410	8
3762779	1156
4373270	139
4989290	10
9957662	2
4529424	1
3860967	104
4471363	124
9898534	1
3821364	23
9874568	10
3160514	3
17041	12
6769405	2
3605666	1500
4568803	1
4544837	2
6044145	2
9630056	4
17058	2
9017700	4
9693619	12
6083731	12
6020185	10
2400092	1
4965444	18
9629076	2
4686081	1
3135551	34
9908439	1
1605107	7
6299307	3
4529217	1
4711583	1
3860944	1
2424098	1
9693648	2
8994106	4
4471386	7
3870316	1
3135545	3
7912402	11
4686098	5
6251358	10
9693654	9
6299336	4
3111579	165
17035	40
3860938	2
4314511	16
6083754	608
9874539	9
3884962	506
9629053	6
790203	19
9908416	2
4711577	2
4544843	1
7912419	16
3870322	50
6044180	3
4471328	1
7837037	1
66016	6
4290472	2
9874522	2
800108	4
3341894	1686
3845376	84
7720832	4
4916463	518
124104	9
4544872	5
8945154	1
7201724	1
6299359	1
3400792	1
17006	2
559351	1
7406610	6
7479610	3
9898586	1
5892658	1
8970100	2
4216493	1
1910810	1
2463655	3
271176	3
6299342	2
4989433	28
81642	3
4529246	5
716247	4
9629082	1
9693602	3
3821387	864
9874500	2
1812361	15
3375290	787
4216487	1
7720855	1
3605608	87
897088	1
4637088	29
4544895	4
295107	2
4471357	15
8970123	6
4216470	11
354005	68
6769411	2
3160508	227
2713224	2
4544889	15
354011	36
6299365	2
4637094	15
7720849	3
790249	3
755833	6
9801581	4
3341859	1
148122	623
1934816	4
667193	7
3967808	36
7127229	4
148116	12
3870374	15
4637065	85
6010778	3
42079	113
354028	11
800166	3
354034	1
4882586	9
4637071	85
6010784	207
9801598	1
1861342	80
6334216	177
1934839	4
6696327	1
3483080	1091
1160071	48
1899942	3
618208	74
354040	5
824103	1
148139	160
3870397	217
3967820	232
3037512	251
6010755	16
42056	8
3615050	3
148151	61
9766703	4
7803699	19
800143	1
3037506	30
3483097	22
1909882	3
7020425	1
4314592	1
3943860	48
6010761	12
2629340	2
4637059	12
3943877	87
4593882	6
354057	37
7044437	7
4182558	6801
3302210	1886
3483068	1713
3894305	60
354063	1
4182564	2923
9801546	2
7671329	3
3615038	95
4593876	11
9766726	1
7999998	4
7044443	25
3483074	631
3943883	180
6407754	2
9693660	3
8969195	2
7406685	3
17064	1
3581546	107
7671358	360
7044414	48
6334251	2
1934874	4
2629311	1
378052	7
9801569	11
6010790	243
7044408	122
6034767	1
9477910	28
4711548	10
3928174	20
6019130	59
4593853	10
2174885	1022
7044420	44
3400705	39
4676705	8
4001769	1
3483051	212
4711531	1
354092	117
9801575	10
9693683	1
667112	2
6010809	100
9766778	23
9801629	1
667106	195
3458171	1
3282944	1668
4843008	97
4637102	2
6010815	33
2365585	1
2619962	20
643152	7
8303	6
618177	35
148091	233
4833665	2
3458188	1
4843014	59
9306574	1
6010821	164
8656007	13
9766790	10
3532536	34
3507573	107
667135	1
643169	9
4818068	1
6417126	2
124096	3
9776110	12
848078	1
3928257	275
667129	69
618160	3
3483128	246
9003098	5
9801641	1
3967783	250
643175	23
4818051	1
7020394	1
9766784	16
8326	11
9776104	17
9003081	4
4833688	1
8607055	8
4461910	5
3737439	3
4461904	19
7465073	109
5818604	1
9801658	6
3037469	1208
7259178	1
8332	27
4843043	41
7778139	2
667158	2
3556525	10
7083911	2
9776133	4
6417149	1
3532559	1006
5818610	1
330097	3
6010850	20
3894386	36
9003075	3
5999103	1
1861276	13
618131	9
643198	1
3532542	60
692104	2
9776127	3
148056	66
7729193	46
222203	12
2620913	1
9003069	5
4436958	1
8632053	2
6662943	9
9972986	1
7259155	1
6623334	5
6623340	214
4363515	1
148062	6
6662908	4
4843020	8
618125	184
2620907	1
9776156	4
667170	5
3497722	761
6417161	6
9801606	3
9982329	10
5662266	5
2630478	1
4241404	1
3928211	175
9003052	3
9791747	1
5999126	1
667164	3
8607090	2
4363521	1
6010838	48
3615096	604
148079	258
2630484	24
618119	4
9017686	3
4182624	1
9003046	12
4436935	1
3218432	680
2595411	7
329071	1
6417178	1
4843037	15
9801612	6
2619904	2
6010844	63
6662920	2
4059059	1
197095	5
907071	4
9776179	1
4461962	2
3434130	57
3605703	143
6442153	1
1296787	192
9477896	19
9003030	3
305099	81
4808638	3
7778174	21
7480641	22
8945125	4
9908391	3
3737497	17
9776162	3
222249	16
4485916	1
3678636	1006
4485922	1
7142996	23
4436993	1
9972940	2
4916434	3
9003023	9
8211357	3
197072	24
907094	5
7152322	2
4289380	1
4461985	2
1629071	2
6202495	13
4833613	3
9776191	37
305076	207
9003017	37
4520920	1
4485951	1
7152316	1
4808650	1
4676697	1
8945131	1
4436987	1
4833607	3
7778145	1
4461991	1
6093161	1
3678659	14100
1296793	4
4485945	2
4289397	9
5843625	1
6044197	2
9003000	8
5471939	1
643100	808
3688008	4
3389955	1127
7912425	20
3111674	1
305053	50
6093103	3
6442199	32
3821447	1241
7274700	1
9972911	2
8935753	7
9630010	1
6613927	1
3375315	1375
560360	1
3037481	64
5471945	12
9874597	3
3389961	339
1282101	4
3737451	2254
4686046	25
7912431	7
9898505	1
4461933	2
4544903	2
873047	3
4461927	5
9630027	3
9487245	1
7479690	261
3448741	14
9017611	1
9874580	2
6226426	6
643123	151
7235114	47
4833659	1
3389978	7179
7912448	4
6093126	4
873076	4
4686052	7
2713299	2
643117	10
9972934	3
3409184	22
8935776	1
7778197	15
2400169	9
4544932	5
5118261	17
560383	1
7480664	16
3473704	411
9017605	2
4519986	20
4461956	1
8211386	1
3434124	9
4544926	2
7480658	47
7778180	7
9693507	39
4314600	6
4990519	5
9017835	1
42122	23
6019064	2
3605784	318
7152144	1
4279996	9
9884012	5
1571147	1
4989522	1
305136	17
3859852	39
4990525	4
7152150	1
66105	37
3615110	1
9908557	2
4314617	4
42116	1
1355685	1
2003592	3
511249	1216
6299425	2
9884029	2
368705	2
3835892	372
1546161	4
4314623	2
305107	132
4989545	1
7152167	2
81748	3
9908528	3
3399103	7
9884035	2
9017806	1
6083636	1
9693513	7
1861402	1
66128	1
9908534	4
6770555	3
8548430	14
6613910	233
6083642	2
9150468	2
7863046	331
9874640	4
7406745	82
5373430	2
8548401	2
81777	1
4965591	46
789358	6
354100	259
3399126	141
9849688	39
9884058	4
3145041	446
9908592	1
9849694	26
3821298	4394
2003557	1
5143394	1
3409014	1982
789364	4
9884064	13
8548418	3
3678719	912
114643	1
3424628	30
9908563	2
2003563	1
6083607	1
5167354	44
354117	3
7382476	1
7020514	1
4529134	1
9849665	21
789370	3
91103	2
9849671	5
100010	1
3086350	279
354123	26
1316001	1
789387	8
9811094	2
3399132	63
4529140	1
1149514	1
100003	3
3640148	5152
618102	242
3581405	385
4843089	4
3639151	19
148004	7
378106	3
8656071	6
9766815	17
3302374	1
667075	296
2629498	1
8994081	1
9766809	2
3894222	260
9849642	1
7744726	43
4843095	1
3639145	99
42197	4
7803593	6
354146	2
3399155	1
525843	1
9850639	1
6009640	1
9693588	10
8632099	4
1861460	2
3894216	836
6010666	1
667098	141
2208673	4176
4843066	17
4530166	1
8656094	12
378129	1
3326357	1328
9766838	8
7685886	183
1934710	2
8005385	1
3341948	789
3894245	657
7744703	11
2629475	2
3928091	8
4843072	11
6010637	6
42174	15
354169	14
9766821	15
2003534	2
692009	4
9742878	13
3399178	16
354175	38
4241338	1
4529186	2
8632076	1
1861483	6
6010643	1
4314646	5
42168	6
3341931	5
2208696	157
9766850	1
6588477	1
124073	12
4300006	1
4529192	2
2605486	3
4882652	5
3870210	507
3267525	723
9801664	14
765381	27
3928079	17
6010695	1
9742890	67
3615156	2716
9693536	110
6020021	1
9850600	1
9766844	4
765369	8
4965527	3
8970063	2
4593758	1
354198	6
4300012	1
765375	13
4652538	3
7357426	77
9693542	7
8969077	2
4241350	1
511203	3110
42151	1
9791813	4
2605492	1
3497567	128
1861454	1
9766873	1
3869247	291
7730138	3
7685840	1
8656059	22
3267502	82
7744749	2
9693571	11
3870233	115
378170	3
7671223	1
9693559	24
511232	2
3869253	5
9766867	3
3302345	841
1605001	7
3556471	3305
6299402	1
511226	2
7044472	8
9776216	17
7729046	4
3434093	2
8886210	1
3267442	127
3483022	312
378075	1
9522148	1
9027087	1
4843126	122
8656119	19
7514570	14
4843132	76
618059	1
643034	7
7044489	2
7103306	73
3737534	105
3497679	587
8656125	87
7744695	9
4833783	2
378069	1
2630308	2
922509	12
643028	2
9801753	1
9776239	1
1920151	3
2174974	415
8656131	29
2630314	3
8005304	2
4843103	86
1919171	103
3037357	1
5999209	2
922515	2
6383232	3
4387639	11
643057	169
7729052	192
4363685	2
9776222	9
3410098	1
7044466	12
8656148	1
3243482	9912
6417014	4
7490131	5
9801776	13
3928122	2
9791836	1
3483016	284
922544	2
4843161	47
4446402	36
7538501	22
3870291	205
3497627	398
9776251	11
3292440	1778
3267488	210
9003193	4
8005327	1
3640183	1
3497633	5534
4843178	33
4387616	1
9776245	5
7695270	3
7729075	12
5481228	1
9752285	1
8005333	1
6383226	8
9003187	2
5999215	2
3811934	99
643086	9
3316910	63
9791871	4
873107	6
9776274	3
1899988	5
667052	33
4157589	71
3267465	21
5133941	1
9003170	34
9791865	42
4843149	32
3497610	1592
667046	1
3918767	412
3639168	235
4843155	24
3640154	1132
2174922	5852
9776268	5
6093089	2
3737511	44
643092	985
5133935	1
8656102	54
6383203	2
9003164	6
42091	51
3811957	28
4833719	2
4471400	15
3473615	68
7479767	58
9776297	36
4216346	10
716454	5
9003158	46
4989485	2
5157930	1
8607109	1
5818538	14
3762584	450
3409043	188
66051	8
5118338	11
3762590	37
5999250	3
4446431	5
246356	6
9017781	1
4216330	5
9727318	1
9776280	29
246362	14
1595171	443
584248	68
9003141	5
2400258	1
9546189	1
9017775	2
5818550	1
4446425	7
5118344	8
4798963	1
9727301	2
7152204	1
4833731	8
4818105	2
305194	10
9003135	12
3292463	3827
3762561	2169
6044085	3
4471417	12
66074	103
7166850	138
4808779	54
3473621	337
3389820	118
7068490	1
8587973	8
9017769	5
5999273	1
3811963	123
7479750	106
5818567	4
4833725	14
4446419	6
7465110	5
3409037	9
1027171	1
3605815	1
9003129	17
7166844	67
5133970	1
4808785	2
3762578	4157
1812421	6
3860921	166
4206974	229
9898617	1
9003112	13
4808791	3
3762549	230
9717969	1
8632107	13
7912543	1
5157976	1
305171	42
7563539	1
403548	5
66097	44
6902761	4
6770561	4
3409089	76
560242	1
3389843	1879
7538599	19
3811986	819
9017746	1
5999296	1
4833748	4
7201693	24
2595598	3
3351295	761
9003106	24
3135752	33
9717952	2
7166867	6
5133993	2
3409095	192
618094	104
584202	133
3860909	45
4818140	1
9898630	1
6226544	1
4833777	1
330105	1
584219	1
305159	1
9717946	1
3409066	503
8935658	4
7538576	2
3389866	5033
4818134	1
246379	102
4348094	86
9898646	1
6202584	6
7465156	2
246385	352
4833760	3
3409072	15
7853792	20
8935664	2
643005	2
9884006	1
305165	8
2424224	1
3292492	11685
618071	13
8000867	1
7647420	88
6058549	1
42240	2
1861514	2
4608342	2
7852479	1
3693191	158
4887626	2
3742699	415
2440329	1
4319170	3
3801516	1198
8000873	1
9841400	1
4633311	1
5201447	1
182202	1
8998736	9
3766671	147
2478941	4
8935167	3
3791611	27
9591824	3
7334282	1
4368116	1
2190766	190
3693185	1
3032437	693
4887632	3
7383211	39
2190772	83
6034572	4
7852485	6
6491298	45
8998707	26
1066171	4
7407733	7
7647443	3
6083524	94
7949925	20
2190737	650
3791605	270
2209000	655
3105923	3
7334276	1
1787077	6
4887649	4
3766642	149
6034566	8
4647939	1
6083530	96
3801539	2509
4608359	1
4789183	1
3801522	7781
8998713	68
3286741	3546
9106214	3
3996997	15
2631093	3
9591801	2
3703050	1032
2189763	8
8009236	1
4887655	6
662103	6
172876	1
3561319	13
3105946	3
7456720	148
7094010	1
7407710	17
3801551	3810
7564591	30
3477458	42
42205	15
2190720	903
8768427	12
686109	3
4863695	5
2596178	11
2621692	15
216102	6
2968214	1
7407704	2
3477441	2
9914919	4
7564585	136
8010245	2
7358236	136
662126	2
7456708	6
3801545	11986
8768433	68
8744444	6
3742647	443
3727027	1259
3766636	423
2209046	176
7564579	188
3801574	2434
7647408	35
7456743	56
6407926	1
3766607	3
3825505	475
4887603	1
3007468	100
9889400	1
8010251	2
8768404	7
2440306	1
3742676	27
4334784	21
157204	3
4608313	3
216125	1
2210049	7
3561302	1
7647414	3
3007474	91
2596184	1
7456737	47
8010268	1
8768410	19
3801568	8333
3766613	21
9013990	1
216131	1
6731437	29
3693110	134
7309249	3
7828765	14
3634828	513
4672995	1
9948278	1
9997213	2
4995497	1358
4368180	34
7334218	1
9649759	1
4789119	1
3115318	7
9973247	8
4202982	55
3370625	3
1861589	5
6731443	2
3693104	635
9013984	1
3115324	1
1463191	5
7118503	1
2189705	11
3370631	3
8984177	1
3668164	685
3634811	651
4789125	1
6407955	1
4202953	5
8998788	11
8000809	1
3693133	1187
3825540	98
9948255	5
7417134	1
3634805	343
3668170	75
7804776	3
255711	1
3776043	300
9889446	27
554247	3
9674734	10
1885549	3
4285229	1
9698700	14
8876275	1
4800016	1
4789102	1
8000815	2
6010519	1
6995107	4
7417128	1
3923998	13840
8998794	1
9948249	82
7804782	1
4716184	2
9973253	3
735641	1
3668187	343
2102130	1
8000821	5
6731472	32
7647466	35
265106	19
4202930	18
7706364	2
8998765	4
3693156	116
81808	1
9591876	2
4814679	1
9591882	1
7310287	1
7417111	6
3668193	2
3923981	1380
4755787	2
9973201	9
7804753	14
9889469	41
7334253	1
9650780	2
2102199	1
5117600	11
6407990	10
182248	6
1861543	3
568887	1
8000838	11
7417105	4
4202947	12
9889475	21
4814685	1
2562819	3
7334247	2
8000844	7
6010548	2
3693179	560
9013932	2
8998742	10
9591853	1
5117617	1
4368122	2
3923969	8918
4285264	2
3379017	859
9013926	1
7310264	16
7745950	2
7334230	1
3766688	449
8984102	1
6010554	2
8000850	5
4800068	1
8264537	1
5117623	1
8998759	8
3766694	2878
7035705	1
4202924	27
6191389	15
3609813	90
9889498	15
3791628	112
7334224	1
4525509	2
4285270	1
3923952	1838
3394643	30
9973218	6
4501420	324
9611099	13
9938877	1
5117511	2
7998993	81
745059	1
9900260	33
9013903	4
769025	2
4946470	461
3658875	120
