ABIRATERONE	2174974
HYDROMORPHONE	3489088;3489065;3489042;3489013
HYDROQUINIDINE	3240087;3240070
HYDROTALCITE	3438010
HYDROXYCARBAMIDE	3810194;4158057;3051268
HYDROXYPROGESTERONE	3052003;3086605;3086597
HYDROXYZINE	3008120;3008143;3008114;3008137
IBUPROFENE	3686498;3558317;3583137;3519375;3866183;3582327;3364062;3921812;3961421;3765631;3975587;3827941;3608133;3484168;3625189;3606074;3388565;3835892;4997645;3993266;3971508;3975558;3665579;3323152;3368634;3619295;3841421;3605301;3675247;3368195;3625172;3625137;3647593;3817115;3398612;4157796;3436258;4990100;3396435;3525105;3681420;3432510;3606045;3608127;4990117;3602828;3816297;3475092;4989717;4176032;3295935;4175920;3571513;3676057;3366581;3769304;3593041;3898059;3571507;3606016;3830707;4992961;3935033;3550652;3356594;4925367;4992317;3766398;3769333;3321590;3416847;4992955;4992837;3349453;3665616;3608191;4925373;3659573;3766530;4196968;4992323;3828662;4986630;4992613;3770342;4992843;4992636;3513467;3832706;3658303;3584591;3622570;3665622;4170420;3847837;3295941;3340848;3791841;3749922;3749916;3519990
IMATINIB	3622498;3622475
IMIDAPRIL	3508472;3508383
IMIPENEM	3833700;5816031
IMIPRAMINE	3106779;3106762
INDAPAMIDE	3144372;3883916;3883945;3382746;3578142;3298046
INDINAVIR	3421015
INDOMETACINE	3052575;3052581;3265897;3052569;3231013
INDORAMINE	3292606;3963791
INSULINE	3656942;3651809;3692240;3772200;3651181;3651198;3651206
INSULINE ASPARTE	3525921;3525909;3552740
INSULINE ASPARTE ISOPHANE BIPHASIQUE	3716532;3567664;3702429;3549525
INSULINE GLARGINE	3546320;3565197;3651494;3772298;3594649
INSULINE HUMAINE RECOMBINANTE	3611827;3611916;3612011;3364814;3355755;3611833;3612028;3612092;3611997;3352343;3487882;3548081;3403879;3487824;3548129;3548201;3403945;3352308;3548164;3493428;3403856;3548046;3493552;3352366
INSULINE HUMAINE RECOMBINANTE ISOPHANE	3355755;3611833;3612028;3612092;3611997;3352343;3487882;3548081;3403879;3487824;3548129;3548201;3403945;3352308;3548164;3493428
INSULINE HUMAINE RECOMBINANTE ISOPHANE BIPHASIQUE	3355755;3611833;3612028;3612092;3611997;3487824;3548129;3548201;3403945;3352308;3548164;3493428;3612034
INSULINE HUMAINE RECOMBINANTE ZINC	3611827;3611916;3612011;3364814
INSULINE LISPRO	3443057;3851106;3494741;3851098;3494451;3437393;3851112;3494468;3414268;3494735
IOBITRIDOL	3377107;3377113;3377627;3377142;3691476;3377722;3377136;3691565;3377053;3377159;3691542;3377679;3377099;3377685;3691447;3377188;3377716
IODIXANOL	3520148;3520237;3520332;3520183;3520088;3520289;3384685;3520125;3520390;3384633
IOHEXOL	3531838;3334983;3268200;3531850;3531809;3460110;3531867;3268217;3531815;3268192;3268157;3460050;3334977;3531376;3268105;3531896;3460073
IOMEPROL	3379394;3379276;3379299;3546952;3399132;3379448;3616196;3379514;3546923;3546969;3619800;3379477;3546946;3379193;3619817;3616173;3379537;3379566;3379247;3379543;3399126;3551120;3379359;3379454;3379371;3379112;3551114;3399103;3379431;3379460
IOPAMIDOL	3245966;3245943;3245883;3245972;3335304;3245908;3245914;3335296;3398368;3245937;3398351;3245920;3245877;3255522
IOPROMIDE	3309040;5595587;3309034;3309086;3309100;3309057;3986349;3986332;3760378;3309028;3760384;3309063;3986289
IOVERSOL	3408322;3408380;3327664;3327701;3327629;3408368;3327693;3408629;3407883;3327687;3408687;3407914;3408664
IPRATROPIUM	3658036;3658131;3671516;3408204;3607978;3658059;4912956;3894009;3269872;3408210;3671539;3608699;3657309;3382568;3657315;3657841;3658177;3658094;3894067;3300257
IPRONIAZIDE	3688250
IRBESARTAN	3428833;3801479;3640510;3428773;4180306;5818604;5818610;2178305;2178274;3801485;2216419;4180186;3861760;3959080;2205048;2178245;2186546;2216299;3801545;3950794;3411873;2178216;3860281;3990434;2216626;2216945;2205031;3868118;3640585;3950736;3469861;3862191;3409184;3927855;3801551;3801462;3959051;2186606;2216164;2216170;3950564;2216566;5818550;2205060;2178357;2216916;3764407;2205410;3867900;3469737;3927890;2216141;2216158;5818567;3768061;3801456;5818538;2216394;3432929;4180418;3770170;3958962;4180358;2205605;2216856;2205143;2178328;3487965;3950386;4180476;3991416;3763690;4187828;3801516;3863204;2216885;3958991;2186724;3927743;2216715;3801491;2186865;2216129;3759412;2216135;2206013;2216448;3801568;2216796;3950908;2216804;2216514;3801522;2216738;3927944;3950222;3990960;3991474;3801539;3927795;3991445;2205114;2216230;2219174;3951049;3950452;2216307;3716621;3951109;3440024;2216193;2186799;3801574;2186664;5822540;3958904;2181804;3761018;3958867;3927996;3469909;2205433
ISONIAZIDE	3477978;3477961;3299353;3295409
ISOSORBIDE	3279304;3286480;3279296;3286505
ISOTHIPENDYL	3171794
ISOTRETINOINE	3976316;3611483;3905227;3611477;3578389;3581256;3678843;3581316;3676034;3578366;3581167;3678808;3578403;3581368;3826019;3581204
ISRADIPINE	3739390;3333357;3739378;3334109;3333340;3334078
ITRACONAZOLE	3346288;3450206;3773145;3672941;3816802
IVABRADINE	3716762;3716791
JOSAMYCINE	3394117;3236016;3230628;3230700;3230692
KAOLIN	3043085;3308690;3325688;3216841;3527765
KAOLIN LOURD	3043085;3308690;3325688;3216841;3527765
KETOPROFENE	3737497;3282594;3466035;3783451;3611170;3533091;3601639;3515733;3429212;3315833;3852465;3852459;3392816;3308106;3967441;3746674;2214337;3967228;3967493;3681880;3998022;3392791;3138905;3752249;3784829;3627455;3330206;4993920;3254132;3852471;3179293
KETOTIFENE	3230350;3369214;3515851;3244895
LABETALOL	3226526;3748236
LACIDIPINE	3731299;3334701;3334747;3731313
LAMIVUDINE	3610928;3519671;3414529;3657284;3414512;3584881;3466271
LAMOTRIGINE	3762621;3792711;3928257;3389843;3696781;3791143;3696717;3808607;3762779;3762822;3791338;3808493;3727889;3414736;3545817;3928211;5815439;3762727;3881136;3808398;3414713;3389866;3808033;3787176;3696841;3448356;3928300;3928174;3850992;3791226;3851081;3786797;3882733;3787029;3791284;3851069;3851046;3881099;3881030;3928352
LANREOTIDE	3572895;3572872;3572889;3373523
LANSOPRAZOLE	3811288;3810975;3460191;3811294;3811845;3811650;3811934;3454842;3584237;3811673;3814269;3810998;4949899;4900976;3811756;3813985;3447569;3811779;3441733;3441064;3814016;3810490;3811868;3782776;3687167;3447552;3811963;4949853;4949876;3810610;3810633;3782718;4949824;3811851;3810969;3811302;3810484;3811207;3923981;3454902;3923969;3819350;3818652;3811325;3782782;3782730;3430356;4949801;3811986;3782859;3819373;3811213;3811704;3588169;3811727;4190210;3923952;3923998;3810403;3817434;3687173;3811957;4900462;3441041;3810509;4900752;3817492;3811710;4900479;3811360;3782753;3810395;3817517;3687144;3430416;3687138;3814430;3817411;3819433;3811822;2179055;3441549;3811791;3819404;4900769;3782799;3810857;3445518;3782836;3810886;3782813;3441555;3441578;3782807;3811816;3811354;3819410;3818675
LANTHANE	3692702;3692754;3692837;3692903
LAPATINIB	4170182;4170199;4916434;3837951
LERCANIDIPINE	3213601;2222259;3185098;3213185;3191472;2222124;3151716;5820191;2210285;2222242;3915800;3915846;2222265;3156257;3161198;2210339;3859533;3916053;3370878;3367764;5820216;3722863;3917070;3915912;3873757;3924147;3494913;3859639;3915881;3287953;3722886;3327517;3165486;3783617;3283211;3924087;3467603;3722596;3467721;3859674;4918539;3917041;4154154;3163116;3353236;3712422;3294545;3712416;3712439;3722604;3354974;4918568;3282654;3282743;3175473;3915728;3915757;3783385;3319357;3287999;3779550;3712445;2210138;2222638;3467572;3294516;3110373;3283174;4918373;3153187;3178856;3778042;3467767;3924118;2210090;3153299;3147583;3873929
LEVOBUNOLOL	3458610;3284937
LEVODOPA	3172463;3356654;3634573;3356938;3853884;3240762;3200805;3944256;3436821;3832899;3331312;3832830;3762130;3298537;3762093;3832959;3436850;3170429;3634627;3944196;3634538;3170487
LEVOFLOXACINE	3949874;3496556;3991149;3949791;3958028;3988271;4196431;3949667;4949132;3752746;4928851;3911015;3979645;2202647;4927722;4900568;4900396;3958413;3988319
LEVOMENTHOL	3919962;3009728;3340587;3045411;3112662;3013144;3013138;3372618;3372624;3118044;3326771;3897025;3326759;3112679;3299695;3037481;3050984;3009711;3308655
LEVOMEPROMAZINE	3074312;3074281;3074298;3272578;3074275
LEVONORGESTREL	3918106;3567322;3280709;4911336;3280715;3641372;3392928;3770000;3910808;3910234;3567316;3730756;3675945;2217896;4911342;3182390;3918112;3184087;3220073;3184064;3182409;3220067;3588436;3553113;3588413;2217904;3847926;3899981;3899975;3847932
LEVOTHYROXINE	3253859;3490909;3933838;3933531;3490855;3980140;3933548;3748377;3933749;3490861;3933755;3478340;3979898;3933577;3500714;3933821;3979906;3979846;3980275;3500737;3980269;3979786;3933695;3490890;3979792;3811265;3319191;3980157;3933809;3490944;3933436;3933703;3979993;3933382;3237197;3979852;3933790;3500766;3980016;3462787;3933778;3319185;3478357;3979734;3500660;3319216;3933815;3980217;3490938;3933761;3933399;3933784;3500683;3462793
LIDOCAINE	3400088;3511706;5001234;5002498;3229938;3237240;3268447;3310770;3637755;3422397;3529511;3634461;3115318;3115264;3115212;3400705;3115376;3115382;5002564;3421506;3310801;3511511;3224792;3422405;3115241;3853559;4987552;3253948;3527989
LINCOMYCINE	3259081
LIOTHYRONINE SODIQUE	3027755;3748377
LISINOPRIL	3299904;3668193;3873125;3587945;3668164;3715395;3729859;3791427;3317329;3875673;3668187;3641550;3728914;3665071;3668201;3729428;3876276;3715372;3673113;3738462;3665065;3729440;3742506;3299910;4942495;3668218;3780748;3745309;3673099;3673142;3724230;3720522;3768279;3641573;3689025;3863049;3768285;3671137;5659933;3830794;3745232;3878996;3735185;4942319;3722780;3729842;3739220;3878973;3739208;3739639;3299873;3735162;3668170;3602515;3602521;3739237;2172225;3673076;3647854;3739214;3742498;3729871;3588471;3791373;3744540;3299896;3744586
LISURIDE	3328451;3348028;3328439
LITHIUM	3666722;3372736;3000911;3137633;3336002;3075151;3754662
LOFLAZEPATE	3240302
LOMEFLOXACINE	3345975;3379649
LOPINAVIR	3761001;4940964;3566819;3760993;3844201
LOPRAZOLAM	3248781
LORAZEPAM	3365156;3574693;3148996;3404382;3417396
LORMETAZEPAM	3544700;3496674;3298684
LOSARTAN	3870569;3976486;3896652;3835691;3896698;4964077;3870581;3835550;3899722;3968015;3854518;3892022;3967984;3714616;3877169;3784947;4913996;3870210;3835656;3854257;3898125;3854205;3854671;3787319;2194385;3825540;3891962;3892393;3870641;3836124;2188083;3568362;3835604;2188870;3854487;3714591;3936363;3568296;3854599;3714450;4151351;3714467;3896847;4933378;3896801;2197604;4914033;4933349;3863411;4997533;3955952;3784918;4930919;3899751;3979941;3964649;4930931;3870233;3927364;3857511;2194416;4934337;3852956;3896563;3385207;3985278;3952250;3787360;3857534;2197780;3946657;3870664;3985315;3964566;3870291;3926146;3714504;4901065;3863285;3891703;3927482;3946640;4934283;3993728;3943570;3985350;3863380;3577875;3385242;3993734;3964690;3774883;3927424;3830162;3837307;3854346;3955923;2197567;3751557;3952178;3933270;3964862;3774848;3964508;3926100;3964922;4900232;3989425;3518625;3887647;3877100;4989485;3870316;3926063;3993243;3854659;3854719;3825505;3714496;3854530;4990293;3899260;5813050;3932715;3899685;4990330;3890626;3932684;3899248;3836294;4989522;3852784;3965293;3976492;3584958;3968050;3714088;3956058;4151368;3968096;3989543;3899716;3892424;4901094;2197751;3933301;3829940;2188350;3943618;3946746;3825913;3927312;3984787;3934022;3870322;3956064;4196201;4931729;3946700;3829851;3825965;3946752;3857557;3946692;3926034;3993579;4990040;4931758;3852815;4196170;4990011;3830268;3964767;3852927;4151380;4934490;4934538;4151374;3964968;3965011;3863262
LOXAPINE	3398428;3343574;3233420;3222770
LYMECYCLINE	3675980;3609598;4158809;3104875
MAGALDRATE	3474371;3478624
MAGNESIUM (HYDROXYDE DE)	3139193;3537232;3311143;3538295;3022315;3545504;3979349;3538237;3244027;3413613;3490418;3421794;3135812;3979361;3043085;2179150;3421819;4985168;3062929;3538220;3762590;2189705
MAGNESIUM (TRISILICATE DE)	3043085;3325688
MANIDIPINE	3783741;3804845;4175908;4198915;3591935;3783793;3748242;3804851;3783712;3790741;3804928;4181613;4175860;3804905;4198938;3789229;3748265;3790385;4181636;4198944;4181659;4198921;3748294;4181642;3783824;3788891;4175877;3748271;4175848
MANNITOL	3448741
MAPROTILINE	3222913;3140233
MARAVIROC	3823498;3823481
MECLOZINE	3348838
